latitude longitude "depth (km)" "Vp (km/s)" "Vs (km/s)" Vp/Vs DWS_Vp
-38.24 176.4234 3.0 4.749 2.521 1.745 2356.8
-38.2684 176.468 3.0 4.807 2.653 1.731 1616.1
-38.2967 176.5126 3.0 5.441 2.82 1.737 996.7
-38.325 176.5572 3.0 5.724 2.7 1.73 331.2
-38.3591 176.6108 3.0 5.993 3.168 1.73 129.5
-38.3988 176.6733 3.0 5.393 3.174 1.72 239.7
-38.0746 176.2545 3.0 5.398 2.936 1.66 904.1
-38.1143 176.3168 3.0 5.571 3.318 1.66 1704.6
-38.1483 176.3702 3.0 5.419 3.077 1.71 801.6
-38.1767 176.4148 3.0 5.017 2.45 1.818 1790.1
-38.205 176.4593 3.0 4.569 2.258 1.74 1065.0
-38.2334 176.5039 3.0 5.083 2.544 1.74 892.4
-38.2617 176.5485 3.0 5.545 2.845 1.74 613.9
-38.29 176.5931 3.0 5.534 2.67 1.74 328.1
-38.0396 176.2904 3.0 5.416 2.781 1.677 1345.5
-38.0793 176.3527 3.0 5.496 2.838 1.654 3850.8
-38.1133 176.4062 3.0 5.572 2.899 1.747 4249.2
-38.1417 176.4507 3.0 4.847 2.754 1.911 5922.8
-38.17 176.4953 3.0 4.408 2.349 1.835 3087.7
-38.1984 176.5399 3.0 4.782 2.398 1.75 763.0
-38.2267 176.5845 3.0 5.405 3.019 1.75 449.7
-38.255 176.6291 3.0 5.525 2.94 1.74 123.2
-38.0046 176.3264 3.0 5.297 2.749 1.66 1037.9
-38.0443 176.3887 3.0 5.14 2.877 1.657 2665.1
-38.0783 176.4421 3.0 6.036 3.09 1.773 6643.3
-38.1067 176.4866 3.0 4.224 2.83 1.978 9231.8
-38.135 176.5312 3.0 4.169 2.563 1.75 1655.9
-38.1633 176.5758 3.0 4.451 2.67 1.76 181.8
-38.1917 176.6204 3.0 4.78 2.817 1.76 144.9
-38.0093 176.4246 3.0 4.965 2.905 1.672 1102.4
-38.0433 176.478 3.0 5.173 3.126 1.724 2234.0
-38.0717 176.5225 3.0 4.774 2.939 1.772 3587.9
-38.1 176.5671 3.0 4.861 2.858 1.75 557.6
-38.1283 176.6117 3.0 5.427 2.747 1.76 408.8
-38.1567 176.6563 3.0 4.941 2.479 1.77 839.2
-38.0226 176.5728 3.0 5.185 2.767 1.71 533.9
-38.051 176.6173 3.0 5.184 2.801 1.758 1158.3
-38.0793 176.6619 3.0 4.981 2.789 1.702 7350.7
-38.002 176.6675 3.0 5.163 2.965 1.78 2550.5
-38.3583 176.1542 5.0 5.583 3.601 1.711 1558.0
-38.3867 176.1988 5.0 5.566 3.463 1.624 4326.1
-38.3233 176.1903 5.0 5.705 3.373 1.791 3521.7
-38.3517 176.2348 5.0 5.783 3.148 1.647 3976.2
-38.38 176.2794 5.0 5.632 3.671 1.561 2902.9
-38.2543 176.1728 5.0 5.635 2.99 1.703 1206.2
-38.2883 176.2263 5.0 5.722 2.836 1.769 3770.6
-38.3167 176.2708 5.0 5.761 3.208 1.627 3281.9
-38.345 176.3154 5.0 5.831 3.364 1.582 3299.6
-38.3734 176.36 5.0 5.428 3.233 1.623 2857.1
-38.2193 176.2088 5.0 5.459 3.238 1.551 965.2
-38.2533 176.2623 5.0 5.619 2.824 1.68 1596.3
-38.2817 176.3069 5.0 5.51 3.611 1.593 2483.9
-38.31 176.3514 5.0 5.728 3.465 1.612 5909.3
-38.3384 176.396 5.0 5.516 3.339 1.688 4196.2
-38.3667 176.4406 5.0 5.983 3.312 1.698 1770.1
-38.3951 176.4853 5.0 5.981 3.412 1.7 1409.6
-38.1446 176.1825 5.0 5.641 2.798 1.71 504.0
-38.1843 176.2448 5.0 5.904 3.701 1.618 1216.3
-38.2183 176.2983 5.0 5.839 3.071 1.66 1376.1
-38.2467 176.3428 5.0 5.644 3.079 1.608 2577.1
-38.275 176.3874 5.0 5.629 3.456 1.627 6619.9
-38.3034 176.432 5.0 6.048 3.492 1.62 4701.7
-38.3317 176.4766 5.0 5.856 3.366 1.66 970.4
-38.3601 176.5213 5.0 5.508 3.291 1.7 592.7
-38.3941 176.5748 5.0 5.566 3.256 1.72 160.3
-38.1096 176.2185 5.0 5.778 2.846 1.68 397.2
-38.1493 176.2808 5.0 5.668 3.046 1.705 1607.6
-38.1833 176.3343 5.0 5.864 3.526 1.629 1700.1
-38.2117 176.3788 5.0 6.055 3.65 1.591 3492.8
-38.24 176.4234 5.0 6.022 3.193 1.672 4403.4
-38.2684 176.468 5.0 5.958 3.346 1.67 2386.2
-38.2967 176.5126 5.0 5.748 3.369 1.69 580.8
-38.325 176.5572 5.0 5.34 3.176 1.71 174.9
-38.3988 176.6733 5.0 5.542 3.165 1.71 385.6
-38.0746 176.2545 5.0 5.089 3.412 1.64 382.0
-38.1143 176.3168 5.0 5.329 3.117 1.64 2109.4
-38.1483 176.3702 5.0 6.095 3.444 1.697 2408.2
-38.1767 176.4148 5.0 5.669 3.829 1.636 4172.3
-38.205 176.4593 5.0 5.883 3.174 1.68 3759.8
-38.2334 176.5039 5.0 6.125 3.478 1.667 1048.1
-38.2617 176.5485 5.0 5.441 3.349 1.769 767.3
-38.29 176.5931 5.0 5.188 2.993 1.71 363.3
-38.3241 176.6467 5.0 5.584 3.246 1.71 263.3
-38.0396 176.2904 5.0 5.317 3.177 1.64 224.7
-38.0793 176.3527 5.0 5.129 3.284 1.698 2780.6
-38.1133 176.4062 5.0 6.052 3.42 1.849 6429.5
-38.1417 176.4507 5.0 5.832 3.327 1.827 9708.1
-38.17 176.4953 5.0 5.048 2.987 1.782 4911.0
-38.1984 176.5399 5.0 5.586 3.001 1.775 1759.5
-38.2267 176.5845 5.0 5.669 3.319 1.804 1212.0
-38.255 176.6291 5.0 5.377 2.963 1.71 372.4
-38.2891 176.6826 5.0 5.537 3.357 1.71 230.2
-38.0046 176.3264 5.0 5.39 3.566 1.65 407.3
-38.0443 176.3887 5.0 5.047 3.369 1.64 3038.6
-38.0783 176.4421 5.0 6.103 3.59 1.741 10267.9
-38.1067 176.4866 5.0 5.013 3.43 1.777 18102.4
-38.135 176.5312 5.0 5.541 3.086 1.7 5944.6
-38.1633 176.5758 5.0 5.011 2.88 1.864 1720.7
-38.1917 176.6204 5.0 5.355 2.891 1.875 2063.2
-38.22 176.665 5.0 5.635 2.961 1.71 268.0
-38.0093 176.4246 5.0 5.954 3.338 1.65 2092.9
-38.0433 176.478 5.0 5.798 3.724 1.703 7486.7
-38.0717 176.5225 5.0 5.227 3.377 1.686 12064.5
-38.1 176.5671 5.0 5.666 3.18 1.7 5876.6
-38.1283 176.6117 5.0 5.734 2.987 1.71 4475.7
-38.1567 176.6563 5.0 5.201 2.858 1.727 4810.1
-38.0226 176.5728 5.0 5.943 3.281 1.626 3303.0
-38.051 176.6173 5.0 5.811 3.226 1.617 4732.4
-38.0793 176.6619 5.0 5.774 3.194 1.632 8770.1
-38.002 176.6675 5.0 5.526 3.627 1.555 2927.9
-38.3583 176.1542 7.0 5.851 3.251 1.627 1494.4
-38.3867 176.1988 7.0 5.616 3.497 1.599 3298.0
-38.3233 176.1903 7.0 5.496 3.52 1.784 2261.1
-38.3517 176.2348 7.0 5.956 3.599 1.696 3119.4
-38.38 176.2794 7.0 5.997 3.683 1.72 2485.7
-38.2543 176.1728 7.0 5.87 3.31 1.66 834.9
-38.2883 176.2263 7.0 5.63 3.466 1.732 1940.8
-38.3167 176.2708 7.0 5.75 3.628 1.666 2969.5
-38.345 176.3154 7.0 5.916 3.487 1.736 2610.0
-38.3734 176.36 7.0 5.673 3.668 1.727 2244.5
-38.2193 176.2088 7.0 5.88 3.636 1.65 698.4
-38.2533 176.2623 7.0 5.812 3.438 1.63 1043.7
-38.2817 176.3069 7.0 5.893 3.705 1.55 1483.5
-38.31 176.3514 7.0 5.681 3.427 1.614 3186.4
-38.3384 176.396 7.0 5.984 3.3 1.687 2581.4
-38.3667 176.4406 7.0 5.856 3.533 1.66 1171.5
-38.3951 176.4853 7.0 5.958 3.618 1.66 1248.7
-38.1446 176.1825 7.0 5.846 3.599 1.7 275.5
-38.1843 176.2448 7.0 5.793 3.866 1.64 513.0
-38.2183 176.2983 7.0 5.693 3.82 1.61 768.9
-38.2467 176.3428 7.0 5.838 3.557 1.55 1672.0
-38.275 176.3874 7.0 5.781 3.664 1.55 2962.6
-38.3034 176.432 7.0 5.961 3.823 1.59 1789.5
-38.3317 176.4766 7.0 5.746 3.554 1.65 1763.2
-38.3601 176.5213 7.0 5.796 3.241 1.67 2156.3
-38.3941 176.5748 7.0 5.66 3.339 1.71 403.1
-38.1096 176.2185 7.0 5.741 3.359 1.66 160.8
-38.1493 176.2808 7.0 5.869 3.456 1.63 239.4
-38.1833 176.3343 7.0 6.001 3.968 1.664 774.8
-38.2117 176.3788 7.0 6.225 3.948 1.595 1748.1
-38.24 176.4234 7.0 6.318 3.763 1.666 2086.9
-38.2684 176.468 7.0 5.734 3.597 1.654 1234.0
-38.2967 176.5126 7.0 6.058 3.68 1.822 2446.8
-38.325 176.5572 7.0 5.9 3.251 1.68 2193.5
-38.3591 176.6108 7.0 5.733 3.316 1.71 328.1
-38.3988 176.6733 7.0 6.28 3.434 1.71 309.9
-38.0293 176.1833 7.0 5.993 3.813 1.7 146.6
-38.0746 176.2545 7.0 5.643 3.867 1.63 114.8
-38.1143 176.3168 7.0 5.783 3.488 1.61 253.1
-38.1483 176.3702 7.0 6.37 3.868 1.6 995.2
-38.1767 176.4148 7.0 6.262 3.365 1.672 2639.0
-38.205 176.4593 7.0 5.918 3.46 1.733 2494.8
-38.2334 176.5039 7.0 6.063 3.579 1.645 1384.0
-38.2617 176.5485 7.0 5.971 3.727 1.902 3338.7
-38.29 176.5931 7.0 5.734 3.379 1.68 2490.9
-38.3241 176.6467 7.0 5.965 3.306 1.7 681.0
-38.0396 176.2904 7.0 6.197 3.668 1.65 350.3
-38.0793 176.3527 7.0 5.727 3.519 1.62 613.9
-38.1133 176.4062 7.0 6.241 3.392 1.62 1734.8
-38.1417 176.4507 7.0 5.424 3.617 1.729 3807.1
-38.17 176.4953 7.0 5.144 3.952 1.708 3723.6
-38.1984 176.5399 7.0 5.735 4.146 1.72 3122.3
-38.2267 176.5845 7.0 6.045 4.16 1.844 4977.6
-38.255 176.6291 7.0 6.072 3.545 1.69 2727.9
-38.2891 176.6826 7.0 5.881 3.418 1.7 819.4
-38.0046 176.3264 7.0 5.875 3.761 1.67 476.3
-38.0443 176.3887 7.0 5.378 3.637 1.64 778.5
-38.0783 176.4421 7.0 5.623 4.077 1.63 3329.1
-38.1067 176.4866 7.0 5.077 3.541 1.695 7159.5
-38.135 176.5312 7.0 6.046 3.48 1.64 5283.2
-38.1633 176.5758 7.0 5.937 3.213 1.718 4780.7
-38.1917 176.6204 7.0 5.842 3.505 1.855 5024.9
-38.22 176.665 7.0 6.078 3.529 1.69 2302.7
-38.0093 176.4246 7.0 5.79 3.543 1.65 1700.8
-38.0433 176.478 7.0 5.843 3.823 1.705 4572.5
-38.0717 176.5225 7.0 5.731 3.744 1.713 8900.2
-38.1 176.5671 7.0 6.177 3.752 1.65 6559.4
-38.1283 176.6117 7.0 5.987 3.408 1.681 6474.3
-38.1567 176.6563 7.0 5.906 3.529 1.799 8256.8
-38.0226 176.5728 7.0 5.919 3.709 1.66 2844.2
-38.051 176.6173 7.0 6.221 3.513 1.643 4142.1
